Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Duration (ms),Popularity,Artist Genres,Danceability,Label
1so85Or3C7J0sBnBOucVBA,The Lion Sleeps Tonight,Tight Fit,80s 100 Hits,2010,https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff,192666,48,classic uk pop,0.635,Sony Music Entertainment
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,https://i.scdn.co/image/ab67616d0000b2734c95b7cf28c3015c914218e4,186826,76,sunshine pop,0.716,Epic/Legacy
5eyjpDkuDAINQSy4KcLjfx,Weak,AJR,The Click,2017,https://i.scdn.co/image/ab67616d0000b27317ef29c733be1574ad6231a5,201159,0,pov: indie,0.67,Liberator Music
3RbfwDS42zdwZJq74jehYW,Hi Honey Ho,Daddy Cool,"Sex, Dope, Rock'N'Roll: Teenage Heaven",1972,https://i.scdn.co/image/ab67616d0000b273e97731bae8f35cd0290669ad,413986,7,australian rock,0.573,Sony Music Entertainment
1g7Fjnv92bBYg8s0fHghro,You'll Never Know,1927,20... Ish Anniversary Edition,1988,https://i.scdn.co/image/ab67616d0000b2734c537bd4feebf90b1af2127e,221493,0,australian rock,0.526,Albert
7ajz4MuyGl9JiZZEdRmaVk,Twilight Time,Billy Thorpe & The Aztecs,It's All Happening - 23 Original Hits (1964-1975),1995,https://i.scdn.co/image/ab67616d0000b2732a0a7bf57031f91316bb840a,213946,0,australian rock,0.324,Albert Productions
64c84nqx8WuBqqWCqsJfRs,Does Your Chewing Gum Lose It's Flavour (On The Bedpost Overnight)?,Lonnie Donegan,The EP Collection,1992,https://i.scdn.co/image/ab67616d0000b273e5bda391401ad754b66e0d6f,166933,10,merseybeat,0.691,See For Miles
60NAi3x5XfU8UDMu5WRUSr,Girls on the Avenue,Richard Clapton,Girls On The Avenue,1975,https://i.scdn.co/image/ab67616d0000b27372c802b62448ba8800c6053c,242133,47,australian rock,0.637,WM Australia
2N0volXQpwsvjDorTTxBAU,Bonfire Heart,James Blunt,Moon Landing,2013,https://i.scdn.co/image/ab67616d0000b273fcf5fe7c303170c384855fe2,238000,65,neo mellow,0.575,Custard/Atlantic
6z9XVXX8AXxVunhocuLTMe,Eloise,Barry Ryan,The Very Best Of Barry Ryan,1992,https://i.scdn.co/image/ab67616d0000b273ec892df826353cfe3727ef53,345173,40,classic uk pop,0.425,Universal International Music B.V.
7LjEQ8GsQiUNVakV6TZI0e,Baby,Madison Beer,Baby,2020,https://i.scdn.co/image/ab67616d0000b2732231abb3b9c86b22b887d198,207734,52,pop,0.705,Epic/Sing It Loud
0yaAFfayze82aoCTY2cxd7,Tonight Again,Guy Sebastian,Tonight Again,2015,https://i.scdn.co/image/ab67616d0000b2731ad565ae9efe87d53c2bb7fe,203339,35,australian pop,0.702,Sony Music Entertainment
3SYfAEAIkw66szw7cFKyty,I’m Still Hot - Original,Luciana,I'm Still Hot,2011,https://i.scdn.co/image/ab67616d0000b273e12a596826b25efb4f9cfc4b,186182,15,dance pop,0.894,Universal Music Australia Pty. Ltd.
2OlWBmSjf1aUPGLNf0UI5A,One Last Time,Ariana Grande,My Everything (Deluxe),2014,https://i.scdn.co/image/ab67616d0000b273be58cd5a2dbe92c2b43cc713,197266,0,pop,0.628,Universal Music Group
7vzjynr2iQKzH6r6QbSE8I,Tobacco Road,The Nashville Teens,Nashville Teens - The Best Of,2008,https://i.scdn.co/image/ab67616d0000b27319efe92129f6aaf5e9a898a0,147733,20,british invasion,0.658,Parlophone UK
1VepQhbzzWcASJslLLFAI8,Push Th' Little Daisies,Ween,Pure Guava,1992,https://i.scdn.co/image/ab67616d0000b2733cdc67c4a19c0dfa82a42d0a,169960,0,alternative rock,0.713,Chocodog Records
3vaBTaDimZdK0KqSRmCFZ1,Young Love,Donny Osmond,Very Best Of The Osmonds,1996,https://i.scdn.co/image/ab67616d0000b273d912a247dab784a4b9f69a9a,145053,17,bubblegum pop,0.578,Polydor Records
5L5jUZZVgPxIEOpP0wknZV,Dream Lover,Glenn Shorrock,Meanwhile,2007,https://i.scdn.co/image/ab67616d0000b273871eeeba88a6cd21c97b65b2,238320,0,australian rock,0.663,Bloodlines
2GieQwEoirGPxp273YJdV6,Somebody's Crying,Chris Isaak,Forever Blue,1995,https://i.scdn.co/image/ab67616d0000b2733048498d72b047b6de10e716,166466,1,mellow gold,0.539,Universal Music Australia Pty. Ltd.
6P4DcGPAqhBz8HrTrwPNNh,Cheap Thrills,Sia,This Is Acting,2016,https://i.scdn.co/image/ab67616d0000b273b7e6776d121e0d485ebe5737,211666,0,pop,0.628,Inertia Music
7iXYRR70wewzVYzWScm99j,"Gonna Fly Now - Theme From ""Rocky""",Bill Conti,Rocky (Original Motion Picture Score),1976,https://i.scdn.co/image/ab67616d0000b27379abdfdbe029582f32fe0b94,167533,63,theme,0.434,Capitol Records
7LytWfv69NzPIojDdGex0X,I Can't Stay Mad at You,Skeeter Davis,Let Me Get Close To You (With Bonus Tracks),2008,https://i.scdn.co/image/ab67616d0000b273bb0aaf566ffcd74d9f0fecd0,126080,20,nashville sound,0.543,Legacy Recordings
0uUNN1nSoUx1A4fkDCWDQ7,So Am I,Ava Max,So Am I,2019,https://i.scdn.co/image/ab67616d0000b273b8dcf98474721fe404ad780d,183026,1,pop,0.682,Atlantic Records
0upgxxew2mVAEctrz08jnf,Love Foolosophy - Radio Edit,Jamiroquai,A Funk Odyssey,2001,https://i.scdn.co/image/ab67616d0000b273909ebb0c355f14d0ee7f9974,224493,59,dance pop,0.799,Epic
2WpCr1ls4bjL54NAcN5DAA,Finally,CeCe Peniston,Dance #1's,2007,https://i.scdn.co/image/ab67616d0000b2731d82bc5df3fca92e3fe2dabb,249066,52,diva house,0.759,Universal Music Group International
6cpk00i5TxCqSeqNi2HuIe,One More Night,Maroon 5,Overexposed Track By Track,2012,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,219546,77,pop,0.716,Interscope Records*
5lA6mFOvaiienokVbTZEQx,Mambo No. 5 (A Little Bit of...),Lou Bega,King of Mambo,2002,https://i.scdn.co/image/ab67616d0000b273ab480fe5878e1ca3a00b718d,219600,1,latin pop,0.607,Ariola Express
5up9KPZw2576erDQ3xCmlc,Boppin' the Blues,Blackfeather,Boppin' the Blues (Live),1972,https://i.scdn.co/image/ab67616d0000b2731d46f6b546f50e11ec58dba5,192093,0,psychedelic blues-rock,0.591,Laneway Music
2QdbP8eBAmM9eyrlugPS2T,I've Got a Little Something for You,MN8,90s R&B,2014,https://i.scdn.co/image/ab67616d0000b273defddcc1c5b525859b81ebc8,220213,13,new jack swing,0.66,Sony Music Entertainment
